z	q	yl	T	a	L1	L2	L3	L4	L5	t1	t2	
	2750	0.92	3.10	0.13	10.50	1.84	5.23	5.23	10.93	1.40	2.35	
	3000	0.97	3.27	0.14	10.50	1.94	5.31	5.31	11.47	1.40	2.39	
4.00	500	0.30	1.29	0.02	12.00	0.60	4.85	4.85	4.98	1.60	2.18	
	750	0.39	1.57	0.03	12.00	0.78	4.98	4.98	5.89	1.60	2.24	
	1000	0.47	1.81	0.05	12.00	0.94	5.11	5.11	6.71	1.60	2.30	
	1250	0.55	2.04	0.06	12.00	1.09	5.22	5.22	7.46	1.60	2.35	
	1500	0.62	2.25	0.07	12.00	1.23	5.32	5.32	8.15	1.60	2.40	
	1750	0.68	2.44	0.08	12.00	1.36	5.42	5.42	8.81	1.60	2.44	
	2000	0.74	2.63	0.09	12.00	1.49	5.52	5.52	9.44	1.60	2.48	
	2250	0.80	2.81	0.10	12.00	1.61	5.61	5.61	10.04	1.60	2.52	
	2500	0.86	2.99	0.11	12.00	1.72	5.69	5.69	10.62	1.60	2.56	
	2750	0.92	3.15	0.12	12.00	1.84	5.78	5.78	11.18	1.60	2.60	
	3000	0.97	3.32	0.13	12.00	1.94	5.86	5.86	11.72	1.60	2.64	
4.50	500	0.30	1.34	0.02	13.50	0.60	5.40	5.40	5.23	1.80	2.43	
	750	0.39	1.62	0.03	13.50	0.78	5.53	5.53	6.14	1.80	2.49	
	1000	0.47	1.86	0.04	13.50	0.94	5.66	5.66	6.96	1.80	2.55	
	1250	0.55	2.09	0.05	13.50	1.09	5.77	5.77	7.71	1.80	2.60	
	1500	0.62	2.30	0.06	13.50	1.23	5.87	5.87	8.40	1.80	2.64	
	1750	0.68	2.49	0.07	13.50	1.36	5.97	5.97	9.06	1.80	2.69	
	2000	0.74	2.68	0.08	13.50	1.49	6.07	6.07	9.69	1.80	2.73	
	2250	0.80	2.86	0.10	13.50	1.61	6.16	6.16	10.29	1.80	2.77	
	2500	0.86	3.04	0.11	13.50	1.72	6.24	6.24	10.87	1.80	2.81
	2750	0.92	3.20	0.12	13.50	1.84	6.33	6.33	11.43	1.80	2.85
	3000	0.97	3.37	0.13	13.50	1.94	6.41	6.41	11.97	1.80	2.88
