Canal 01 - Dimension																												DR	1.5						
JackCad Form																												Others							
ID	Petak	Saluran	A	Q	b	h	w	m	k	n	V	i	Lebar	Lebar	m	w	 Lining	 Berm	 Berm W	 Berm H	 Berm W	 Berm H	b jln	b jln	 Pave	 Slope		Lining	Kriteria	Hidrolis			Kontrol		
9	BA 1 ka3	Muka a3	11.86	18	0.30	0.25	0.40	1.00	35	1.20	0.192	0.000427	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.14 	1.007106781	0.137	26.367531	0.08 	0.000158
10	BA 1 ka3	Kwarter a1	8.44	13	0.30	0.22	0.40	1.00	35	1.36	0.180	0.000427	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.11 	0.922253967	0.124	20.57903478	0.07 	0.000150
11	BA 1 ka3	Kwarter a2	12.19	18	0.30	0.26	0.40	1.00	35	1.15	0.196	0.000427	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.15 	1.035391052	0.141	28.47615414	0.08 	0.000160
12	BA 1 ka3	Kwarter a3	11.86	18	0.30	0.25	0.40	1.00	35	1.20	0.353	0.001445	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.14 	1.007106781	0.137	48.50532863	0.15 	0.000534
13																																			
14	BA 1 ka1	Tersier BA1 - T1	46.22	69	0.45	0.41	0.40	1.00	35	1.10	0.531	0.001746	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.35 	1.609655121	0.219	187.3867103	0.23 	0.000817
15	BA 1 ka1	Tersiet T1- K1	32.2	48	0.40	0.36	0.40	1.00	35	1.11	0.480	0.001685	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.27 	1.418233765	0.193	131.2390078	0.21 	0.000740
16	BA 1 ka1	Muka a3	16	24	0.30	0.30	0.40	1.00	35	1.00	0.272	0.000717	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.18 	1.148528137	0.157	49.03663999	0.12 	0.000284
17	BA 1 ka1	Kwarter a1	14.02	21	0.30	0.30	0.40	1.00	35	1.00	0.258	0.000643	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.18 	1.148528137	0.157	46.43726284	0.12 	0.000255
18	BA 1 ka1	Kwarter a2	16.2	24	0.35	0.30	0.40	1.00	35	1.17	0.265	0.000643	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.20 	1.198528137	0.163	51.57814597	0.11 	0.000259
19	BA 1 ka1	Kwarter a3	16	24	0.30	0.30	0.40	1.00	35	1.00	0.238	0.000548	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.18 	1.148528137	0.157	42.86979492	0.11 	0.000217
20																																			
21	BA 1 ka2	Muka b1	12.67	19	0.30	0.25	0.40	1.00	35	1.20	0.198	0.000455	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.14 	1.007106781	0.137	27.21831439	0.08 	0.000168
22	BA 1 ka2	Kwarter a1	13.3	20	0.30	0.29	0.40	1.00	35	1.03	0.173	0.000300	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.17 	1.120243866	0.153	29.63718637	0.08 	0.000117
23	BA 1 ka2	Kwarter b1	12.67	19	0.30	0.27	0.40	1.00	35	1.11	0.167	0.000300	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.15 	1.063675324	0.145	25.71305322	0.07 	0.000114
24	BA 1 ka2	Kwarter a2	13.24	20	0.30	0.30	0.40	1.00	35	1.00	0.176	0.000300	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.18 	1.148528137	0.157	31.71916558	0.08 	0.000119
25																																			
26	BA 2 ka	Tersier BA 2 - K1	23.81	36	0.35	0.35	0.40	1.00	35	1.00	0.305	0.000732	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.25 	1.339949494	0.183	74.73799443	0.14 	0.000313
27	BA 2 ka	Muka a2	14.51	22	0.30	0.27	0.40	1.00	35	1.11	0.289	0.000897	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.15 	1.063675324	0.145	44.46202544	0.12 	0.000341
28	BA 2 ka	Kwarter a2	14.51	22	0.30	0.29	0.40	1.00	35	1.03	0.300	0.000897	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.17 	1.120243866	0.153	51.24748599	0.13 	0.000351
29	BA 2 ka	Kwarter a1	9.3	14	0.30	0.24	0.40	1.00	35	1.25	0.157	0.000300	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.13 	0.97882251	0.132	20.40959446	0.06 	0.000109
30																																			
31	BA 2 ki	Muka a2	13.05	20	0.30	0.26	0.40	1.00	35	1.15	0.350	0.001366	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.15 	1.035391052	0.141	50.93223653	0.15 	0.000512
32	BA 2 ki	Kwarter a1	8.66	13	0.30	0.23	0.40	1.00	35	1.30	0.329	0.001366	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.12 	0.950538239	0.128	40.10081277	0.13 	0.000489
33	BA 2 ki	Kwarter a2	13.05	20	0.30	0.28	0.40	1.00	35	1.07	0.216	0.000482	3.00	1.00	1.00	0.20	0.30	2.00	0.00	3.00	0.00	3.00	0.00	0.00	0.00	0.00000		E	1	0.16 	1.091959595	0.149	35.02922744	0.09 	0.000186
																																			
