Topo 05 - Cross		aa																																					
Jenis sal (0.Profil 1. Main System 2. Tersier 3. Drain) :				1																																			
Jenis Bangunan : 1.Bendung 2. Bagi  3.Sadap 4.Terjun 5.Gr Pembawa 6.Gr Pembuang 7.Jembatan 8.Talang 9.Siphon 10.Got miring 11.Pelimpah samping 12.Box Tersier 13.Box Kwarter 14.Jembatan org 15.Tempat cuci 16.Mandi Hewan 17.Penguras																																							
No Register :	(No. Register...)		"Model Gambar : 0 (Normal), 1 (Hanya Garis), 2 (Galian), 3 (Parapet), 4 (tanggul 2), 5 (Tanggul 1)"											"Keterangan cross : R (rumah), P (pagar), J (jalan), T (tanggul), D (dasar sal), L (lining), W (Rawa), S (sawah), K (kebun), B(boundary step methode),A (parapet)"																									
PATOK	X	Y	Z	Azimuth kiri			Dim sal	HWL1	X																														
				jam	mnt	dtk				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
P18	5704.009	9549.758	9.881				4		-1.9	8.652	8.705	8.762	8.175	8.162	9.604	9.692	9.684	8.06	8.075	8.768	8.795	8.555																	
										-21.4	-13.8	-2.9	-2.6	-1.2	-0.8	0	7.2	7.4	8.2	8.6	15.6	30.8																	
												t	d	d	t																								
P19	5751.862	9533.978	9.939				3		-8.4	9.111	9.061	9.204	8.486	8.476	9.6	9.679	9.63	8.274	8.255	8.967	8.97	9.046																	
							8			-22.2	-13	-9.4	-9	-7.8	-7.4	0	0.6	1	2.3	2.6	10.8	27.6																	
												t	d	d	t																								
P20	5798.42	9516.47	9.796				3		-1.1	8.744	8.698	8.748	8.134	8.168	9.617	9.606	9.652	8.027	8.026	8.756	8.506	8.769																	
							8			-19.8	-13	-1.8	-1.4	-0.8	-0.4	0	7.6	7.9	8.3	8.7	15.6	27.2																	
												t	d	d	t																								
P21	5843.916	9495.255	9.894				3		-7.9	8.768	8.716	9.004	8.296	8.208	9.404	9.446	9.436	8.101	8.162	8.862	8.826	8.76																	
							8			-22.8	-15.8	-8.5	-8.1	-7.7	-7.3	0	0.7	1.2	2.4	2.8	15.8	29																	
												t	d	d	t																								
P22	5891.438	9478.411	10.101				3		-1.9	9.122	9.147	9.062	8.511	8.504	9.756	9.712	9.747	8.54	8.561	9.176	9.104	8.762																	
							8			-19.4	-13.6	-3	-2.6	-1.2	-0.8	0	7.2	7.6	8.8	9.2	15.8	27																	
																																							
P23	5940.705	9467.785	10.215				3		-8.1	9.222	9.327	9.204	8.562	8.476	10.196	10.065	10.047	8.366	8.38	9.204	9.272	9.261																	
							8			-23.4	-13.8	-9.1	-8.7	-7.5	-7.1	0	0.9	1.3	2.5	2.8	12.6	24.8																	
																																							
P24	5988.358	9452.576	10.556				3		-1.7	9.604	9.878	9.967	9.001	8.99	10.298	10.336	10.376	8.96	8.967	9.676	9.504	9.327																	
							8			-25	-10.8	-2.7	-2.3	-1.1	-0.7	0	7.3	7.7	8.1	8.5	15.8	27.7																	
																																							
P25	6031.539	9427.402	10.343				3		-1.55	9.742	9.685	9.67	8.97	8.96	10.12	10.103	10.098	8.868	8.878	9.367	9.38	9.067																	
							8			-21.6	-15	-2.2	-1.8	-1.3	-0.9	0	7.1	7.5	8.7	9	19.6	28.9																	
																																							
P26	6076.971	9404.946	10.504				3		-8.3	9.704	9.677	9.56	8.555	8.504	10.208	10.274	10.245	8.76	8.758	9.367	9.56	9.404																	
							8			-19.8	-10	-9.3	-8.9	-7.7	-7.3	0	0.7	1.1	2.4	2.8	13.6	27.8																	
																																							
P27	6126.823	9397.569	10.223				3		-1.7	9.04	8.956	8.96	8.138	8.17	9.798	9.894	9.87	8.304	8.311	9.504	9.476	9.272																	
							8			-25	-9.6	-2.8	-2.4	-1	-0.6	0	7.4	7.8	8.2	9.6	15.8	30.2																	
																																							
P28	6175.928	9390.539	9.842				3		-1.8	9.061	8.873	8.862	8.383	8.36	9.562	9.533	9.568	8.276	8.204	9.062	9.162	8.968																	
	BBA 1	2	0.1				8			-24.2	-13.8	-2.8	-2.4	-1.2	-0.8	0	7.2	7.6	8.7	9	17.6	27.4																	
																																							
P29	6224.553	9378.165	9.732				3		-8.6	8.848	9.124	9.046	8.178	8.16	9.563	9.542	9.55	8.279	8.204	8.768	8.843	9.062																	
							8			-24.3	-15.4	-9.7	-9.3	-7.9	-7.5	0	0.5	0.9	1.3	1.7	13.8	28.4																	
																																							
P30	6274.283	9371.541	10.173				3		-2.05	9.348	9.167	8.916	8.278	8.26	9.97	9.943	9.917	8.567	8.504	9.272	9.361	9.048																	
							8			-21.6	-12.8	-3.1	-2.7	-1.4	-0.8	0	7.2	7.6	8	8.4	15.6	31.2																	
																																							
P31	6323.595	9381.468	10.546				3		-1.3	9.548	9.361	9.268	8.567	8.568	10.416	10.407	10.398	8.767	8.748	9.567	9.58	9.467	9.467																
							8			-19.6	-13.8	-1.9	-1.5	-1.1	-0.7	0	7.3	7.7	8	8.4	15.8	28.6	40																
																																							
P32	6368.649	9358.443	10.458				3		-1.4	9.788	9.702	9.678	8.796	8.788	10.27	10.269	10.27	8.967	8.904	9.672	9.478	9.504																	
							8			-23	-12.6	-2.2	-1.8	-1	-0.6	0	7.4	7.8	8.2	9.6	18.3	29.6																	
																																							
P33	6417.319	9346.176	10.259				3		-7.9	9.404	9.682	9.678	8.904	8.967	10.096	10.07	10.098	8.767	8.756	9.672	9.562	9.708																	
							8			-20	-14.8	-8.5	-8.1	-7.7	-7.3	0	0.7	1.1	2.4	2.8	15.8	24.4																	
																																							
P34	6466.969	9354.176	10.689				3		-1.3	9.278	9.402	9.361	8.75	8.748	10.508	10.5	10.498	8.676	8.69	9.567	9.408	9.678																	
							8			-23.2	-15.4	-2.9	-1.5	-1.1	-0.7	0	7.3	7.7	8.8	9.2	18.6	27.8																	
																																							
P35	6516.525	9347.754	10.28				3		-2.05	9.274	9.168	9.06	8.456	8.478	10.011	10.031	10.147	8.568	8.578	9.208	9.361	9.278																	
							8			-20.4	-13.8	-3.1	-2.7	-1.4	-1	0	7	7.4	8.8	9.2	19.4	29																	
																																							
CP02	6564.304	9331.251	10.468				4		-8.55	9.278	9.361	9.604	8.968	8.967	10.348	10.329	10.339	8.768	8.756	9.361	9.278	9.404																	
	BBA 2	3	0.1							-25	-15.4	-9.6	-9.2	-7.9	-7.5	0	0.5	1	2.2	2.8	13.6	29																	
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
